Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,34.0,1.0,34.0,34.0,0.1,15.806999999999993,0.0,0.0,0.00550389289855957,,,,,,,,,,,,,,,,,,,,,4.6339009318769895,5.313879419022616,15.680793274071052,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,110.0,2.0,76.0,110.0,0.1,31.51000000000002,0.0,0.0,6.869140386581421,,,,,,,,,,,,,,,,,,,,,11.658335840350107,9.244789814913402,30.68530640363427,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,175.0,3.0,65.0,175.0,0.1,42.606,0.0,0.0,12.993733644485474,,,,,,,,,,,,,,,,,,,,,15.129584047317072,14.023549377641594,41.70594722542802,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,211.0,4.0,36.0,211.0,0.1,19.206000000000017,0.0,0.0,16.486295700073242,,,,,,,,,,,,,,,,,,,,,6.180755812837204,6.500608639795259,19.021516802826714,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,253.0,5.0,42.0,253.0,0.1,25.805000000000017,0.0,0.0,20.44380259513855,,,,,,,,,,,,,,,,,,,,,9.000954113516537,8.743156416668507,25.47789022980168,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,317.0,6.0,64.0,317.0,0.1,31.509000000000025,0.0,0.0,26.304871797561646,,,,,,,,,,,,,,,,,,,,,10.059357144143023,9.730853500506587,30.927024264279137,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,354.0,7.0,37.0,354.0,0.1,20.706000000000017,0.0,0.0,30.092750549316406,,,,,,,,,,,,,,,,,,,,,6.821989419652757,7.053615181549245,20.49455500693171,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,383.0,8.0,29.0,383.0,0.1,13.106999999999994,0.0,0.0,32.98044443130493,,,,,,,,,,,,,,,,,,,,,3.838714076586501,4.479769378904813,13.021707685442193,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,459.0,9.0,76.0,459.0,0.1,32.01000000000001,0.0,0.0,39.80434513092041,,,,,,,,,,,,,,,,,,,,,8.687709738579041,9.656781199877654,31.41252770274579,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,599.0,10.0,140.0,599.0,0.1,94.20499999999998,0.0,0.0,52.08380436897278,,,,,,,,,,,,,,,,,,,,,43.02829428002968,26.130511040464885,88.35766577467946,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,656.0,11.0,57.0,656.0,0.1,32.007999999999996,0.0,0.0,57.257903814315796,,,,,,,,,,,,,,,,,,,,,11.193627721541022,10.394084918941383,31.432797381838455,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,719.0,12.0,63.0,719.0,0.1,20.007000000000016,0.0,0.0,63.21383547782898,,,,,,,,,,,,,,,,,,,,,6.545330432933319,5.334557353689383,19.633892333499865,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,788.0,13.0,69.0,788.0,0.1,40.907,0.0,0.0,69.45268654823303,,,,,,,,,,,,,,,,,,,,,14.042352677863562,12.9233538985673,40.0180737947431,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,842.0,14.0,54.0,842.0,0.1,27.708000000000027,0.0,0.0,74.42887926101685,,,,,,,,,,,,,,,,,,,,,8.444940446312879,8.976813185905016,27.30655902739486,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
